ID,Date,Source,Language,Score,Text,Review
1,2023-03-31,Ctrip,Chinese,70,经朋友介绍这个在当地最好的酒店，但是入住后让我有点失望，首先我是上午到的，酒店以没有空房间为由不准提前办理入住，等我下午六点半返回酒店办理入住时，因为我要不吸烟的房间，办理入住最少耽误了半个小时，最后还是给我办的双床房，在公寓楼的房间，空调很吵，房间的窗帘竟然没有遮阳功能，与星级酒店不符…….,"This hotel was introduced by a friend as the best hotel in the area, but I was a little disappointed after checking in. First of all, I arrived in the morning. The hotel did not allow early check-in on the grounds that there was no vacant room. When I returned to the hotel to check in at 6:30 in the afternoon Because I wanted a non-smoking room, check-in was delayed for at least half an hour. In the end, I got a twin room. In the apartment building, the air conditioner was very noisy, and the curtains in the room did not have sunshade function. Doesn't match..."
1,2023-03-31,Ctrip,Chinese,70,经朋友介绍这个在当地最好的酒店，但是入住后让我有点失望，首先我是上午到的，酒店以没有空房间为由不准提前办理入住，等我下午六点半返回酒店办理入住时，因为我要不吸烟的房间，办理入住最少耽误了半个小时，最后还是给我办的双床房，在公寓楼的房间，空调很吵，房间的窗帘竟然没有遮阳功能，与星级酒店不符…….,Better quality hotels in nearby areas
1,2023-03-31,Ctrip,Chinese,70,经朋友介绍这个在当地最好的酒店，但是入住后让我有点失望，首先我是上午到的，酒店以没有空房间为由不准提前办理入住，等我下午六点半返回酒店办理入住时，因为我要不吸烟的房间，办理入住最少耽误了半个小时，最后还是给我办的双床房，在公寓楼的房间，空调很吵，房间的窗帘竟然没有遮阳功能，与星级酒店不符…….,"The overall environment of the hotel is good, the breakfast is Chinese style, average, you can eat by the pool, but it is hotter, the room is an apartment-style suite this time, I personally feel that the distance is a bit suffocating, next time I will book an ordinary room ."
2,2023-03-30,Agoda,Chinese,88,附近地區較優質的酒店,"This is the second time I choose to stay at Becamex Hotel New City, but my experience this time was really bad. At noon on the day I checked in, I arrived first, so I checked in first and informed the hotel reception that my friend would come in the evening. In the morning of the first day, we had breakfast together at the hotel restaurant, my friend was the one holding the room card to check the counter, the staff told the room there was only one guest, then they checked to confirm there were two. guest. See it as a temporary mistake that should have been fixed. On the second day, I had a meal and had the same situation. Why don't you double check the information? Hope my next experience isn't as bad?"
3,2023-03-29,Ctrip,Chinese,100,酒店整体环境不错，早餐中式的，一般，，可以在泳池边吃，就是热一点 ，房间这次定的是公寓式套房，个人觉得隔的有点憋的慌，下次还是定那种普通的房间。,"Breakfast, cleanliness, friendly staff, and a big swimming pool"
3,2023-03-29,Ctrip,Chinese,100,酒店整体环境不错，早餐中式的，一般，，可以在泳池边吃，就是热一点 ，房间这次定的是公寓式套房，个人觉得隔的有点憋的慌，下次还是定那种普通的房间。,cigarette smell. Poor sofa cleanliness
4,2023-03-28,Google,Vietnamese,60,"Đây là lần thứ hai mình chọn lưu trú ở Becamex Hotel New City, nhưng thật sự trải nghiệm lần này của mình khá tệ. Trưa ngày mình nhận phòng, mình tới trước nên check-in trước và có báo cho phía lễ tân khách sạn là tầm chiều tối bạn mình sẽ tới. Sáng ngày thứ nhất bọn mình có cùng nhau dùng bữa sáng tại nhà hàng của khách sạn, bạn mình là người cầm thẻ phòng để check chỗ quầy thì nhân viên bảo phòng chỉ có một khách, sau đó họ kiểm tra lại xác nhận có hai khách. Xem như đó là sai sót nhất thời đáng lẽ nó nên được sửa chữa. Sang tới ngày thứ hai mình dùng bữa và cũng gặp tình huống như thế. Tại sao các bạn không kiểm tra kỹ thông tin? Hi vọng trải nghiệm lần tới của mình không tệ hại như vậy?",Most of the only five-star hotels in Binh Duong are Chinese people
5,2023-03-28,Booking.com,Chinese,90,早餐，卫生状况，员工很友好，有个很大的泳池,The hotel is very clean and the rooms are spacious and comfortable. very good breakfast
5,2023-03-28,Booking.com,Chinese,90,早餐，卫生状况，员工很友好，有个很大的泳池,very good
5,2023-03-28,Booking.com,Chinese,90,早餐，卫生状况，员工很友好，有个很大的泳池,"I have stayed many times, the hotel environment and location are very good, the staff are friendly, and the Chinese is also very good, "
6,2023-03-28,Agoda,Korean,64,담배 냄새. 소파 청결 상태 불량,"Such a bad experience ! Front desk staff arguing directly with guests, 4 people go in which 1 person forgot to bring photo identification but did not accept, even with the peole can guarantee. Typical service style of 90s. Goodbye and no see them again"
7,2023-03-26,Ctrip,Japanese,80,新城唯一的五星级酒店，多半都是住中国人,"Open space, professional service"
8,2023-03-22,Ctrip,Chinese,100,酒店非常整洁，房间宽敞，舒适。早餐非常丰富,"Good hotel and nice place
Food is good test
Clean room
Lovely people"
8,2023-03-22,Ctrip,Chinese,100,酒店非常整洁，房间宽敞，舒适。早餐非常丰富,Very good drinks
8,2023-03-22,Ctrip,Chinese,100,酒店非常整洁，房间宽敞，舒适。早餐非常丰富,"I just moved in today after staying for a week, and sometimes I can't receive it on the Internet."
9,2023-03-21,Ctrip,Chinese,100,很不错的呢,The place to run the Binh Duong Halfmarathon
10,2023-03-18,Agoda,Chinese,100,住很多次了，酒店环境，位置都很好，工作人员热情，中文也很好,It's convenient to travel and the environment is good. I don't know how many times I've stayed here. It's very good
10,2023-03-18,Agoda,Chinese,100,住很多次了，酒店环境，位置都很好，工作人员热情，中文也很好,The Family Mart downstair is convenient
10,2023-03-18,Agoda,Chinese,100,住很多次了，酒店环境，位置都很好，工作人员热情，中文也很好,"Contains a hemorrhoid-free toilet, and the breakfast is diverse"
11,2023-03-17,Google,Vietnamese,20,"Một trải nghiệm quá tệ ! Nhân viên lễ tân tay đôi với khách , 4 người đi trong đó 1 người quên mang giấy tờ tuỳ thân có hình ảnh nhưng ko chấp nhận! Bảo lãnh cũng ko cho .đúng kiểu phục vụ của những năm 90 tk trước. Tạm biệt và không hẹn gặp",The rooms are getting older. Humidity on lower floors
